Bloco,Tratamento,DAS,Inoculacao,Rn,Gn,Bn,MPRI,H,S,V,ICVE,Clof A,Clof B,Clorof Total,NDVI
A,0,53,com,0.248167843,0.407415026,0.344417131,0.24290931,156.2641095,0.390872139,0.417712239,0.931939149,35.63333333,5.566666667,41.2,0.79258
A,0,53,com,0.293509138,0.383802516,0.322688346,0.13331142,139.3895996,0.235259995,0.421316906,0.88886103,32.76666667,4.633333333,37.4,0.70104
A,0,53,com,0.297774961,0.382757889,0.31946715,0.12487704,135.315209,0.222027893,0.408797298,0.87480943,38.73333333,6.1,44.83333333,0.74299
A,0,53,com,0.294397892,0.390123972,0.315478135,0.139843714,133.2128525,0.245373489,0.484684763,0.830051985,36.36666667,6.2,42.56666667,0.78103
A,0,53,com,0.255434623,0.399327312,0.345238065,0.21976337,157.4460059,0.360337711,0.364200879,0.966520503,36.1,6.5,42.6,0.81163
B,0,53,sem,0.237350964,0.419272417,0.343376619,0.277056008,154.9686045,0.433897975,0.493021155,0.885296982,33.56666667,5.3,38.86666667,0.78504
B,0,53,sem,0.272881807,0.394578254,0.332539939,0.182327684,149.4132492,0.308421576,0.477330307,0.901489645,32.4,5,37.4,0.8217
B,0,53,sem,0.285431754,0.40213729,0.312430957,0.169736461,133.8806797,0.290213166,0.462116502,0.826338331,35.93333333,6.333333333,42.26666667,0.79038
B,0,53,sem,0.306630367,0.393548953,0.29982068,0.124137607,115.6407902,0.238161661,0.436889813,0.750765009,35,6.266666667,41.26666667,0.8518
B,0,53,sem,0.250362871,0.401477637,0.348159492,0.231827823,158.830072,0.376396471,0.418051374,0.950906674,36.23333333,6.6,42.83333333,0.82873
B,0,53,com,0.245073968,0.409941524,0.344984509,0.25170024,156.3602919,0.402173351,0.437665538,0.922055325,34.23333333,5.933333333,40.16666667,0.82268
B,0,53,com,0.322199411,0.42616208,0.251638509,0.138920389,95.7416487,0.409523933,0.333174121,0.617665364,33.96666667,5.3,39.26666667,0.74663
B,0,53,com,0.241972787,0.419881448,0.338145765,0.268803388,152.4345011,0.423711649,0.385073574,0.910596599,33.23333333,5.433333333,38.66666667,0.76001
B,0,53,com,0.321506853,0.422189402,0.256303745,0.135381278,96.4163669,0.392917626,0.329592617,0.628143068,32,5.766666667,37.76666667,0.71092
B,0,53,com,0.257845997,0.428739078,0.313414924,0.248902993,139.510068,0.398594598,0.255526281,0.890348973,35.33333333,6.3,41.63333333,0.62449
C,0,53,sem,0.321843818,0.399519487,0.278636695,0.107678986,98.55420684,0.302570452,0.112201444,0.742599406,31.66666667,4.8,36.46666667,0.68739
C,0,53,sem,0.299095147,0.437785735,0.263119118,0.188213036,107.6418185,0.398977407,0.368410235,0.675547556,33.9,5.533333333,39.43333333,0.72155
C,0,53,sem,0.23198381,0.423717666,0.344298524,0.292410286,155.1470679,0.452503805,0.47313415,0.886715503,35.26666667,5.666666667,40.93333333,0.76882
C,0,53,sem,0.259503555,0.39830241,0.342194035,0.211002731,155.7454589,0.348476062,0.453800263,0.931160441,32.26666667,4.9,37.16666667,0.85946
C,0,53,sem,0.258657836,0.396575785,0.344766379,0.210486679,157.4607698,0.347771987,0.412966349,0.954535943,32.56666667,4.933333333,37.5,0.81896
C,0,53,com,0.254096577,0.400305068,0.345598355,0.223423171,157.5498482,0.365242667,0.381474297,0.959704613,33.5,5.466666667,38.96666667,0.84334
C,0,53,com,0.240666001,0.409758157,0.349575842,0.259972135,158.6451423,0.412663308,0.379552665,0.950623244,35.36666667,6.1,41.46666667,0.74323
C,0,53,com,0.250717864,0.403443114,0.345839022,0.233467381,157.3695214,0.378554609,0.423016042,0.940418235,34.36666667,5.5,39.86666667,0.71779
C,0,53,com,0.266488383,0.391303859,0.342207759,0.189749086,156.3990323,0.318973283,0.411450817,0.958742146,,4.8,,0.7295
C,0,53,com,0.250272457,0.41389114,0.335836403,0.246352982,151.3768369,0.395318157,0.47557339,0.884018578,35.2,5.866666667,41.06666667,0.67684
D,0,53,sem,0.244335889,0.439392888,0.316271223,0.285284174,142.1274811,0.443923889,0.384341872,0.846841863,36.23333333,6.7,42.93333333,
