Bloco,Tratamento,DAS,Inoculacao,Rn,Gn,Bn,MPRI,H,S,V,ICVE,Clof A,Clof B,Clorof Total,NDVI
C,75,31,com,0.181340484,0.434491529,0.384167987,0.41107159,168.0726841,0.582637469,0.32581405,0.964253294,41.56666667,8.3,49.86666667,0.379206897
C,100,31,sem,0.243779178,0.408654317,0.347566505,0.252707961,157.7694277,0.403458697,0.041620645,1.061470373,39.53333333,7.3,46.83333333,0.271852459
C,100,31,sem,0.247458845,0.402290767,0.350250389,0.238294751,159.8334696,0.384875654,0.077967975,1.067015844,40.5,7.866666667,48.36666667,0.372290323
C,100,31,sem,0.248185564,0.404803586,0.34701085,0.239847817,157.8597373,0.386898802,0.214736985,1.009786612,41.96666667,8.4,50.36666667,0.535587302
C,100,31,sem,0.226180863,0.433477312,0.340341824,0.314248283,153.0428123,0.478217529,0.365573112,0.902307633,40.56666667,8.3,48.86666667,0.555112903
C,100,31,sem,0.184153388,0.449029008,0.366817604,0.418324359,161.3773566,0.58988532,0.299972634,0.933254885,42.23333333,9.666666667,51.9,0.541793651
C,100,31,com,0.211427602,0.418832294,0.369740104,0.329078042,165.7981446,0.49519747,0.117777232,1.050109236,40.56666667,7.8,48.36666667,0.655833333
C,100,31,com,0.200708968,0.435866147,0.363424885,0.369409946,161.516721,0.539516961,0.355613026,0.932271788,38.43333333,7.433333333,45.86666667,0.572482143
C,100,31,com,0.189719749,0.435198901,0.37508135,0.392817772,165.3060716,0.564061975,0.323979015,0.955686735,39.5,7.333333333,46.83333333,0.438919355
C,100,31,com,0.199714977,0.439154747,0.361130276,0.374786534,160.4482428,0.545228695,0.326671575,0.934079037,39.33333333,7.666666667,47,
C,100,31,com,0.205378318,0.430925146,0.363696536,0.354464247,162.1158355,0.523401408,0.263348373,0.971726937,43.23333333,9.166666667,52.4,
D,0,31,com,0.207193683,0.424781062,0.368025255,0.344297585,164.349513,0.512234179,0.292074059,0.978283438,41.63333333,7.933333333,49.56666667,0.573192982
D,0,31,sem,0.198176885,0.425358055,0.376465059,0.364343928,167.0870471,0.534093964,0.274545982,0.992048057,40.86666667,8.266666667,49.13333333,0.604067797
D,0,31,sem,0.202195931,0.433469963,0.364334106,0.363829544,162.0639121,0.53354108,0.296720153,0.956934656,41.96666667,8.066666667,50.03333333,0.728946429
D,0,31,sem,0.202971743,0.436580485,0.360447772,0.365269217,160.4460965,0.535087457,0.269964064,0.956350029,42.6,8.966666667,51.56666667,0.728740741
D,0,31,sem,0.21049483,0.432825423,0.356679746,0.345598622,159.4506885,0.513672675,0.340118722,0.934573359,41.23333333,7.933333333,49.16666667,0.659555556
D,0,31,sem,0.205048138,0.444634055,0.350317807,0.368774024,156.3801856,0.538838431,0.369321338,0.899392219,40.83333333,7.933333333,48.76666667,0.509361702
D,0,31,com,0.215978077,0.42935169,0.354670233,0.330642756,158.9998055,0.49696698,0.336896134,0.938711214,39.9,7.6,47.5,
D,0,31,com,0.281599317,0.408673664,0.309727019,0.18409289,133.2809035,0.310943324,0.180009407,0.910131887,41.03333333,7.966666667,49,0.535103448
D,0,31,com,0.20477219,0.431026288,0.364201522,0.355858193,162.2788362,0.524919486,0.267040344,0.970895813,39.56666667,7.766666667,47.33333333,0.411210526
D,0,31,com,0.21196653,0.427010578,0.361022891,0.336544213,161.5886036,0.503603561,0.271102423,0.97281247,38.8,7.533333333,46.33333333,0.459754386
D,25,31,sem,0.191785294,0.430268248,0.377946458,0.383380108,166.8363446,0.554265752,0.156225969,1.023371341,43.76666667,9.7,53.46666667,0.676714286
D,25,31,sem,0.204935755,0.431869604,0.363194642,0.356362971,161.8427363,0.525468445,0.282472221,0.963146091,45.13333333,10.16666667,55.3,0.69204
D,25,31,sem,0.19630732,0.449106699,0.354585982,0.391685603,157.5662304,0.562893806,0.269441176,0.931256286,41.8,9.666666667,51.46666667,0.780313725
D,25,31,sem,0.204672023,0.437472251,0.357855726,0.362535705,159.4802971,0.532148558,0.304446762,0.940469877,41.6,9.166666667,50.76666667,0.834040816
D,25,31,sem,0.213080491,0.438431693,0.348487816,0.345889466,156.052346,0.513993868,0.452790293,0.878029424,43.1,9.766666667,52.86666667,0.8138
D,25,31,com,0.218948128,0.429297885,0.351753987,0.324490631,157.8814394,0.489985543,0.300788255,0.946861175,42.26666667,8.8,51.06666667,0.632604651
D,25,31,com,0.201188179,0.43030519,0.368506631,0.362817761,163.816507,0.532452352,0.262872595,0.978316724,43.3,8.866666667,52.16666667,0.6385
D,25,31,com,0.225557963,0.409827801,0.364614235,0.290012538,165.2780357,0.449627471,0.203795634,1.033736941,42.2,8,50.2,0.58888
D,25,31,com,0.229168217,0.404127296,0.366704487,0.276267675,167.1663215,0.432930615,0.164551801,1.062874314,41.9,7.833333333,49.73333333,0.604957447
D,25,31,com,0.235131771,0.411950141,0.352918087,0.273255003,159.9685788,0.429222744,0.254739885,0.994060117,41,7.9,48.9,0.53608
D,50,31,com,0.279973932,0.406787737,0.31323833,0.184654751,135.7385379,0.311744415,0.246317195,0.901415785,40.96666667,8.366666667,49.33333333,0.4576875
D,50,31,sem,0.213158694,0.434657728,0.352183578,0.341916361,157.6592752,0.509594147,0.261782274,0.952092722,40.4,8.1,48.5,0.569020408
